StateID,2000 Decade,2010 Decade,2020 Decade,2030 Decade,2040 Decade,2050 Decade
AK,626932,710231,733391,733391,733391,733391
AL,4447100,4779736,5024279,5024279,5024279,5024279
AR,2673400,2915918,3011524,3011524,3011524,3011524
AZ,5130632,6392017,7151502,7151502,7151502,7151502
CA,33871648,37253956,39538223,39538223,39538223,39538223
CO,4301261,5029196,5773714,5773714,5773714,5773714
CT,3405565,3574097,3605944,3605944,3605944,3605944
DC,572059,601723,689545,689545,689545,689545
DE,783600,897934,989948,989948,989948,989948
FL,15982378,18801310,21538187,21538187,21538187,21538187
GA,8186453,9687653,10711908,10711908,10711908,10711908
HI,1211537,1360301,1455271,1455271,1455271,1455271
IA,2926324,3046355,3190369,3190369,3190369,3190369
ID,1293953,1567582,1839106,1839106,1839106,1839106
IL,12419293,12830632,12812508,12812508,12812508,12812508
IN,6080485,6483802,6785528,6785528,6785528,6785528
KS,2688418,2853118,2937880,2937880,2937880,2937880
KY,4041769,4339367,4505836,4505836,4505836,4505836
LA,4468976,4533372,4657757,4657757,4657757,4657757
MA,6349097,6547629,7029917,7029917,7029917,7029917
MD,5296486,5773552,6177224,6177224,6177224,6177224
ME,1274923,1328361,1362359,1362359,1362359,1362359
MI,9938444,9883640,10077331,10077331,10077331,10077331
MN,4919479,5303925,5706494,5706494,5706494,5706494
MO,5595211,5988927,6154913,6154913,6154913,6154913
MS,2844658,2967297,2961279,2961279,2961279,2961279
MT,902195,989415,1084225,1084225,1084225,1084225
NC,8049313,9535483,10439388,10439388,10439388,10439388
ND,642200,672591,779094,779094,779094,779094
NE,1711263,1826341,1961504,1961504,1961504,1961504
NH,1235786,1316470,1377529,1377529,1377529,1377529
NJ,8414350,8791894,9288994,9288994,9288994,9288994
NM,1819046,2059179,2117522,2117522,2117522,2117522
NV,1998257,2700551,3104614,3104614,3104614,3104614
NY,18976457,19378102,20201249,20201249,20201249,20201249
OH,11353140,11536504,11799448,11799448,11799448,11799448
OK,3450654,3751351,3959353,3959353,3959353,3959353
OR,3421399,3831074,4237256,4237256,4237256,4237256
PA,12281054,12702379,13002700,13002700,13002700,13002700
PR,3808610,3725789,3285874,3285874,3285874,3285874
RI,1048319,1052567,1097379,1097379,1097379,1097379
SC,4012012,4625364,5118425,5118425,5118425,5118425
SD,754844,814180,886667,886667,886667,886667
TN,5689283,6346105,6910840,6910840,6910840,6910840
TX,20851820,25145561,29145505,29145505,29145505,29145505
UT,2233169,2763885,3271616,3271616,3271616,3271616
VA,7078515,8001024,8631393,8631393,8631393,8631393
VT,608827,625741,643077,643077,643077,643077
WA,5894121,6724540,7705281,7705281,7705281,7705281
WI,5363675,5686986,5893718,5893718,5893718,5893718
WV,1808344,1852994,1793716,1793716,1793716,1793716
WY,493782,563626,576851,576851,576851,576851
